contestId,index,rating,tags
1167,F,2300,"['combinatorics', 'data structures', 'math', 'sortings']"
1167,E,2100,"['binary search', 'combinatorics', 'data structures', 'two pointers']"
1167,D,1500,"['constructive algorithms', 'greedy']"
1167,C,1400,"['dfs and similar', 'dsu', 'graphs']"
1167,B,1400,"['brute force', 'divide and conquer', 'interactive', 'math']"
1167,A,800,"['brute force', 'greedy', 'strings']"
1163,D,2100,"['dp', 'strings']"
1163,C2,1900,"['data structures', 'geometry', 'implementation', 'math']"
1163,C1,1900,"['brute force', 'geometry']"
1163,E,2400,"['bitmasks', 'brute force', 'constructive algorithms', 'data structures', 'graphs', 'math']"
1163,B2,1600,"['data structures', 'implementation']"
1163,B1,1500,"['data structures', 'implementation']"
1163,A,900,"['greedy', 'math']"
1164,I,,['math']
1164,N,,['math']
1164,U,,['math']
1164,H,,['math']
1164,M,,['math']
1164,R,,['math']
1164,L,,['math']
1164,J,,['math']
1164,G,,['math']
1164,Q,,['math']
1164,T,,['math']
1164,O,,['math']
1164,E,,['math']
1164,C,,['math']
1164,D,,['math']
1164,A,,['math']
1161,C,2000,['games']
1161,A,1500,"['brute force', 'data structures', 'graphs']"
1156,C,2000,"['binary search', 'greedy', 'sortings', 'ternary search', 'two pointers']"
1156,A,1400,['geometry']
1149,B,2200,"['dp', 'implementation', 'strings']"
1149,A,1200,"['constructive algorithms', 'greedy', 'math', 'number theory']"
1152,D,2100,"['dp', 'greedy', 'trees']"
1152,B,1300,"['bitmasks', 'constructive algorithms', 'dfs and similar', 'math']"
1152,C,1800,"['brute force', 'math', 'number theory']"
1152,A,800,"['greedy', 'implementation', 'math']"
1155,B,1200,"['games', 'greedy', 'implementation']"
1155,E,2200,"['brute force', 'interactive', 'math']"
1155,C,1300,"['math', 'number theory']"
1155,D,1900,"['brute force', 'data structures', 'divide and conquer', 'dp', 'greedy']"
1155,A,1000,"['implementation', 'sortings', 'strings']"
1146,D,2100,"['dfs and similar', 'math', 'number theory']"
1146,C,1700,"['bitmasks', 'graphs', 'interactive']"
1146,B,1100,"['implementation', 'strings']"
1146,A,800,"['implementation', 'strings']"
1151,C,1800,"['constructive algorithms', 'math']"
1151,D,1600,"['greedy', 'math', 'sortings']"
1151,B,1600,"['bitmasks', 'brute force', 'constructive algorithms', 'dp']"
1151,A,1000,"['brute force', 'strings']"
1153,E,2200,"['binary search', 'brute force', 'interactive']"
1153,D,1900,"['binary search', 'dfs and similar', 'dp', 'greedy', 'trees']"
1153,C,1700,"['greedy', 'strings']"
1153,B,1200,"['constructive algorithms', 'greedy']"
1153,A,1000,"['brute force', 'math']"
1145,B,,['brute force']
1145,A,,['implementation']
1142,A,1700,"['brute force', 'math']"
